channel,grooming,model_covariance,pt_low_GeV,chi2_reco,dof_reco,chi2_unfolded,dof_unfolded,log10_p_reco,log10_p_unfolded,raw_chi2_pass,pvalue_pass
dijet,groomed,canonical,200,560.2096079209689,8.0,171.43970372748726,3.974634184568182,-115.07950063545408,-35.31181530551106,True,True
dijet,groomed,canonical,290,1417.6035465773177,8.0,161.4251629163776,3.9798581879089703,-300.0534363244338,-33.15816370586134,True,True
dijet,groomed,canonical,400,390.97795664140205,8.0,29.859848153953134,3.986058709288355,-78.79788736486569,-5.288882759432256,True,True
dijet,groomed,canonical,480,244.98110385904138,8.0,25.091561723191056,3.9827259970775915,-47.70013495546833,-4.324969048028691,True,True
dijet,groomed,canonical,570,243.57156063559478,8.0,48.07271831037253,3.989921134718707,-47.4015125134314,-9.046414928082585,True,True
dijet,groomed,canonical,global,2857.3437756343246,40.0,972.8440968032982,19.913198213561806,-577.5998841531446,-192.69322004057116,True,True
dijet,groomed,accepted_enclosing_model,200,560.2096079209689,8.0,20.22128786813407,3.974634184568182,-115.07950063545408,-3.356235402655581,True,True
dijet,groomed,accepted_enclosing_model,290,1417.6035465773177,8.0,112.22955687747506,3.9798581879089703,-300.0534363244338,-22.629447923459033,True,True
dijet,groomed,accepted_enclosing_model,400,390.97795664140205,8.0,20.20072403182873,3.986058709288355,-78.79788736486569,-3.347219516454097,True,True
dijet,groomed,accepted_enclosing_model,480,244.98110385904138,8.0,19.399996519531282,3.9827259970775915,-47.70013495546833,-3.1906027926147607,True,True
dijet,groomed,accepted_enclosing_model,570,243.57156063559478,8.0,45.33012995609541,3.989921134718707,-47.4015125134314,-8.475209823135907,True,True
dijet,groomed,accepted_enclosing_model,global,2857.3437756343246,40.0,472.1983833139742,19.913198213561806,-577.5998841531446,-86.78236217326342,True,True
dijet,ungroomed,canonical,200,871.5567362616164,9.0,23.311158218981017,5.347096842732809,-181.0808609576793,-3.395484433499518,True,True
dijet,ungroomed,canonical,290,5461.66281893915,9.0,65.13784066162398,5.346403183240723,-1175.023067509579,-11.770722788108834,True,True
dijet,ungroomed,canonical,400,4268.001603182435,9.0,71.12355991525192,5.312159734046782,-916.1975231954477,-13.029441963608637,True,True
dijet,ungroomed,canonical,480,6686.829190468658,9.0,174.4618700995636,5.342990794931529,-1440.7570331227148,-34.81084187571303,True,True
dijet,ungroomed,canonical,570,15364.59303167995,9.0,1092.3607825353074,5.269373126237957,-3323.8452128157264,-232.89380161225552,True,True
dijet,ungroomed,canonical,global,32652.643380531805,45.0,17178.42719967437,26.6180236811898,-7020.230835967178,-3690.8453438587167,True,True
dijet,ungroomed,accepted_enclosing_model,200,871.5567362616164,9.0,5.849865123699156,5.347096842732809,-181.0808609576793,-0.44125913418119495,True,True
dijet,ungroomed,accepted_enclosing_model,290,5461.66281893915,9.0,22.998789958801318,5.346403183240723,-1175.023067509579,-3.3369059500067575,True,True
dijet,ungroomed,accepted_enclosing_model,400,4268.001603182435,9.0,21.272692518686853,5.312159734046782,-916.1975231954477,-3.026351151719654,True,True
dijet,ungroomed,accepted_enclosing_model,480,6686.829190468658,9.0,59.63343398613169,5.342990794931529,-1440.7570331227148,-10.639536978455318,True,True
dijet,ungroomed,accepted_enclosing_model,570,15364.59303167995,9.0,303.6549071317222,5.269373126237957,-3323.8452128157264,-62.533988503897994,True,True
dijet,ungroomed,accepted_enclosing_model,global,32652.643380531805,45.0,6117.31406148897,26.6180236811898,-7020.230835967178,-1294.473655462018,True,True
trijet,groomed,canonical,200,55.00902837333586,9.0,33.67181080998809,5.005137689452833,-7.916089848867557,-5.555498679565527,True,True
trijet,groomed,canonical,290,70.4470711999997,9.0,5.956282881496618,5.0025925462826475,-10.905077383311111,-0.5075284538610416,True,True
trijet,groomed,canonical,400,23.575621504952732,9.0,9.706553472019733,5.007345001923241,-2.298850857075317,-1.0740318217994103,True,True
trijet,groomed,canonical,global,149.03172107828829,27.0,76.66442171042821,15.015075237658724,-18.113463794020948,-9.542667927956483,True,True
